Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml)
72529d9890754db3954ad2cd81e95b0a,298.15,101.0,2,CO,0.7182,CCO,0.2818,0.7859500000000003,0.0,0.7892389538494564,0.00047518488115960223
57cd7c4150294cc2b9a0544b6d0e481e,298.15,101.0,2,CO,0.5592,CCO,0.4408,0.7857000000000003,0.0,0.7867630297447725,0.00041101101396822244
f3e6dcfb83454ab995431015a8934b96,298.15,101.0,2,CO,0.3251,CCO,0.6749,0.7854400000000002,0.0,0.7850168343224341,0.0004757315361917321
0773bce75fcc4db59c4c41148de91585,298.15,101.0,2,CCO,0.701,CCCCO,0.299,0.7933300000000002,0.0,0.7822138537402765,0.0002915786942936494
58d6b246753e46d59a2b0704026483da,298.15,100.0,2,CCO,0.2008,CCCCO,0.7992,0.8030000000000002,0.0,0.7840647240424485,0.0003200142654728646
ed8258ecc6734ae5a6b3f5f71502cecf,298.15,100.0,2,CCO,0.5002,CCCCO,0.4998,0.7977000000000002,0.0,0.7835170995837788,0.00028996057861215913
2ada610406694f48bf4e8058b70a08a4,298.15,101.0,2,OCC(O)CO,0.723,CCCO,0.277,1.1388000000000005,0.0,1.1713071388246867,0.0003978743683713856
e420e6e892c14a0cb04376d7a9c36f9f,298.15,101.0,2,OCC(O)CO,0.4946,CCCO,0.5054,1.0327000000000004,0.0,1.0504361317677937,0.00045971380832589455
00e514ae60394657bc81cdee67f41747,298.15,101.0,2,OCC(O)CO,0.2185,CCCO,0.7815,0.9035000000000002,0.0,0.8982782613072413,0.00031449343179117627
0676532ecaa34be690662444ebfcdad2,298.15,101.0,2,CC(C)O,0.7,CC(C)(C)O,0.3,0.7816500000000002,0.0,0.7866098887404588,0.0003707694854724194
1a2bad8ebd5a4a29b64fb7632ab7e844,298.15,101.0,2,CC(C)O,0.2,CC(C)(C)O,0.8,0.7816750000000001,0.0,0.7924783885928093,0.0003974212100021269
49d61c8721a94fa2a0b040caf3403c7c,298.15,101.0,2,CC(C)O,0.5,CC(C)(C)O,0.5,0.7819340000000001,0.0,0.7888318490852921,0.000454915419098983
050ebebff8b74b3e9c85ae62ee15a144,298.15,101.0,2,OCCCO,0.5383,OCCO,0.4617,1.0757000000000003,0.0,1.1070665435109952,0.000473251265439495
da9a20bf71534815be9f79f1e463b6fc,298.15,101.0,2,OCCCO,0.2646,OCCO,0.7354,1.0931000000000002,0.0,1.1282615401381162,0.00033217775201350986
5b0409e027e34126844d852fd727635a,298.15,101.0,2,OCCCO,0.7976,OCCO,0.2024,1.0601000000000005,0.0,1.0889857016809399,0.0003407353935770399
8799fc75ceca42fcb67247732ef79f04,298.15,101.0,2,OCCO,0.5009,OCC(O)CO,0.4991,1.1950000000000005,0.0,1.2416214900719191,0.0003920283980306384
02739673f82142bc92c9feba5ec83319,298.15,101.0,2,OCCO,0.2019,OCC(O)CO,0.7981,1.2345000000000004,0.0,1.2796404382871882,0.0004800541808118564
6049d891a5114a74a45d33ac31dce617,298.15,101.0,2,OCCO,0.7998,OCC(O)CO,0.2002,1.1472000000000002,0.0,1.1913054133059937,0.0004526920998028753
b85d1c4336714723b77673899524f27d,298.15,101.0,2,OCCO,0.7757,CCCCCCO,0.2243,0.9931100000000004,0.0,1.0080355660920786,0.0003170339122003092
1ef1b8f710d4437ba7a636b161d50280,298.15,101.0,2,OCCO,0.49049,CCCCCCO,0.50951,0.9022000000000002,0.0,0.8971960157815952,0.00027376800823502586
6e6448e8d95342d59c1abdc01d4363ed,298.15,101.0,2,OCCO,0.23738,CCCCCCO,0.76262,0.8499900000000002,0.0,0.8343214423630837,0.0002525647994063514
a0c3d6272bef4e6caed97ec8a2b10045,298.15,101.0,2,CC(=O)OCC(C)C,0.249,CCCO,0.7509999999999999,0.8235000000000002,0.0,0.8081860083274841,0.00027753879355939135
5ea20f30d11448348bb17b98cb523d74,298.15,101.0,2,CC(=O)OCC(C)C,0.7509999999999999,CCCO,0.249,0.8549000000000002,0.0,0.8444640801319133,0.00021161650596777698
b45538202fa24d76befe9f6d2f45b211,298.15,101.0,2,CC(=O)OCC(C)C,0.508,CCCO,0.4920000000000001,0.8416000000000002,0.0,0.8291585481705241,0.00033935672873313527
fbea94b0f0fd4329ab129aa1caeaafe5,298.15,101.3,2,CCCO,0.5,CC(C)CCO,0.5,0.8037500000000002,0.0,0.7903425976772133,0.000276989726932666
f85848481026413c809dcc88325d3c87,298.15,101.3,2,CCCO,0.7490000000000001,CC(C)CCO,0.251,0.8019600000000002,0.0,0.7859588825041811,0.00036396261749804874
98645cd3b8b9496c97e2d6ed2f6826b3,298.15,101.3,2,CCCO,0.251,CC(C)CCO,0.7490000000000001,0.8052500000000002,0.0,0.7926649736034705,0.0002847434162559851
ad313509a413471bb8fed1ed0800f8fa,298.15,101.3,2,CC(=O)O,0.7989,CCOC(C)=O,0.2011,0.9996600000000002,0.0,1.017779497943551,0.0002747372694118287
b1e0dfe0dcd14250a100cf4f6c094f0c,298.15,101.3,2,CC(=O)O,0.5007,CCOC(C)=O,0.4993,0.9514000000000002,0.0,0.9597931176706174,0.0002828792625640026
c90108cd02884e389aec7764c3fe909f,298.15,101.3,2,CC(=O)O,0.2944,CCOC(C)=O,0.7056,0.9255000000000002,0.0,0.9281062607523284,0.00026315031841244883
a2b0fcec4c5e4732b34f69c2287bc45a,298.15,100.0,2,CCOC(=O)CCC(=O)OCC,0.4999,CCCO,0.5001,0.9605400000000002,0.0,0.9485876811605486,0.0003288825160640391
c1a32d412bed4e6faaa0fd346efe906c,298.15,100.0,2,CCOC(=O)CCC(=O)OCC,0.2999,CCCO,0.7001,0.9132100000000004,0.0,0.9002786937116867,0.00024202364773667895
253b4257e3774cdda196e2b7b6d43dd0,298.15,100.0,2,CCOC(=O)CCC(=O)OCC,0.7001,CCCO,0.2999,0.9957400000000004,0.0,0.9840692172684268,0.00023514241989319991
7b3a6c524f244ff7bc1909305e90e1a7,298.15,100.8,2,CCO,0.25,CC(C)(C)O,0.75,0.7836500000000002,0.0,0.7910198165850061,0.0003338670868371891
720fa96317d64566bc757920eda308aa,298.15,100.8,2,CCO,0.75,CC(C)(C)O,0.25,0.7844900000000002,0.0,0.7852167271754865,0.00043753825385815527
d71b06f11de44e768ff0ce65e2748403,298.15,100.8,2,CCO,0.5,CC(C)(C)O,0.5,0.7841800000000001,0.0,0.7881849897858584,0.00036580173247761135
f1e691daf10a488b9d854e9821350846,293.15,101.0,2,CCC(=O)O,0.2419,CCC(C)(C)O,0.7581,0.8378500000000002,0.0,0.8442514316440504,0.00044805171843481905
7e61064451af4e60a4454c60f579b723,293.15,101.0,2,CCC(=O)O,0.4806,CCC(C)(C)O,0.5194,0.8768500000000002,0.0,0.8847304876483181,0.0003111321082027966
94c6799c1ca4476bb5b30fb98eeab6d1,293.15,101.0,2,CCC(=O)O,0.7218,CCC(C)(C)O,0.2782,0.9230300000000002,0.0,0.9332344924520168,0.0003515054849803568
b9972f94074e407eb3143001561fc0dc,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.5,O=C1CCCO1,0.5,1.0653,0.0,1.044665556861956,0.00030454209558728715
0dcb91475fc24db7992106b2bea16a6e,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.7001,O=C1CCCO1,0.2999,1.0511,0.0,1.0338597646162204,0.000273157510446935
9a8d1ea7ccd1424981e5b550f798d5ee,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.2,O=C1CCCO1,0.8,1.0949000000000004,0.0,1.0661168863965649,0.0002245500530287363
5c3b651804d04c7a901cbdca70cb2869,298.2,101.0,2,CC(C)CCO,0.7002,CCCCCCO,0.2998,0.8111700000000002,0.0,0.7941921587843126,0.0003133033753281008
79342491204c46ddaa97bfd282c4bc80,298.2,101.0,2,CC(C)CCO,0.2005,CCCCCCO,0.7995,0.8144900000000002,0.0,0.7939876616491874,0.00028502178366235364
