Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
openff-1.0.0,Pure Density,Slope,1.0466953764240208,0.03817265731739183,0.9639043902225346,1.1116657606840785,ester
openff-1.0.0,Pure Density,Intercept,-0.013213728038557693,0.035780009811414076,-0.0740419741177758,0.06504115941361388,ester
openff-1.0.0,Pure Density,R,0.9876860760309204,0.0020608438778409992,0.984101825520192,0.9922100495093766,ester
openff-1.0.0,Pure Density,R^2,0.9755237847853571,0.004072460228543839,0.9684564029921744,0.9844807823473997,ester
openff-1.0.0,Pure Density,p,5.943771040673766e-42,4.6123368684445127e-38,6.697389948604426e-47,3.423193880006034e-39,ester
openff-1.0.0,Pure Density,RMSE,0.03577732284978307,0.0028117384575357543,0.030341066363065744,0.04130171024372509,ester
openff-1.0.0,Pure Density,MSE,0.03197145705274979,0.002205141458951716,0.027824562548738666,0.03635236870088814,ester
openff-1.0.0,Pure Density,MUE,0.03197145705274979,0.002205141458951716,0.027824562548738666,0.03635236870088814,ester
openff-1.0.0,Pure Density,Tau,0.9198149575944486,0.021282398236036414,0.8588757288051194,0.9404671622528952,ester
rho_pure_h_vap,Pure Density,Slope,1.0649514181452244,0.017830222934971076,1.0242853774549103,1.0941520089984682,alcohol
rho_pure_h_vap,Pure Density,Intercept,-0.050937253852138986,0.01597152624625383,-0.07665487165552187,-0.013715901949454379,alcohol
rho_pure_h_vap,Pure Density,R,0.9946683995726572,0.0019227249375790131,0.9897919476410434,0.9974447130919917,alcohol
rho_pure_h_vap,Pure Density,R^2,0.9893652251084312,0.0038204876384503746,0.97968809961505,0.9948959556751655,alcohol
rho_pure_h_vap,Pure Density,p,3.4665824105535216e-27,2.2959864280658983e-22,2.5581909016342846e-31,1.61698426010256e-23,alcohol
rho_pure_h_vap,Pure Density,RMSE,0.021596547102246438,0.002630910090774312,0.015959583469120825,0.026327239485996794,alcohol
rho_pure_h_vap,Pure Density,MSE,0.01205066900439415,0.0033376246645657765,0.005743249206374431,0.018467900468479594,alcohol
rho_pure_h_vap,Pure Density,MUE,0.016080337928532355,0.002702580467797163,0.011077229032125923,0.021388103561501136,alcohol
rho_pure_h_vap,Pure Density,Tau,0.8448753462603878,0.06995408024805065,0.6341326406667727,0.8992006497783509,alcohol
rho_pure_h_vap,Pure Density,Slope,1.0375342250892075,0.041123671508940925,0.9436660799861515,1.1043026707361674,ester
