Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI
h_mix_rho_x,Pure Enthalpy Of Vaporization,Slope,1.0145376866070706,0.14942775230256294,0.7660747196315357,1.3458772261309064
h_mix_rho_x,Pure Enthalpy Of Vaporization,Intercept,4.622628354137518,5.696879345440716,-7.7471578518986135,14.32467514163519
h_mix_rho_x,Pure Enthalpy Of Vaporization,R,0.8574176729299342,0.03711038634553206,0.7763631176298703,0.9224811470197413
h_mix_rho_x,Pure Enthalpy Of Vaporization,R^2,0.7351650658525837,0.06282190468144105,0.6027396904159719,0.8509714666068575
h_mix_rho_x,Pure Enthalpy Of Vaporization,p,8.69003095212586e-08,2.1912090576172593e-05,1.4894677304083907e-10,8.349135678101874e-06
h_mix_rho_x,Pure Enthalpy Of Vaporization,RMSE,6.5946480975370205,0.9152873975145321,4.7352807338429805,8.34580887112472
h_mix_rho_x,Pure Enthalpy Of Vaporization,MSE,5.202796376563627,0.8293773583056069,3.6326767696428064,6.970979812066209
h_mix_rho_x,Pure Enthalpy Of Vaporization,MUE,5.355055020724369,0.7907106239742143,3.8962830728213347,7.013543118973282
h_mix_rho_x,Pure Enthalpy Of Vaporization,Tau,0.7028985507246377,0.07285827382462097,0.5354973246118465,0.8171744806355761
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Slope,0.9815232064919588,0.15910740992695166,0.7101787981043068,1.3096805131708287
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Intercept,5.320711413789255,6.109615670617843,-7.32348226542679,16.29365868241351
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,R,0.8340629383143742,0.04598571068793553,0.7315465183274145,0.9137202270674281
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,R^2,0.6956609850696075,0.07503428365032207,0.5351603084769622,0.8348846533521523
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,p,4.110728484739105e-07,0.0003143165933081131,4.682513667797703e-10,4.9715788492750477e-05
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,RMSE,6.298885183503433,0.929188973528423,4.343048977449605,7.942371759573956
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,MSE,4.583342048217559,0.873404178087637,2.9147559472309887,6.3239636613256875
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,MUE,4.893135593141368,0.7994153356927222,3.3732093145385442,6.432756115836665
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Tau,0.6811594202898551,0.07811417766510514,0.5000540745148393,0.804564996643335
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,Slope,0.8605730391762381,0.10356279141843988,0.6664219087458311,1.076325553666823
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,Intercept,7.233621410050915,4.428813978912331,-1.534067103143414,15.643840752260438
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,R,0.85244058470597,0.05122947437859993,0.7376164775321545,0.9337301831558436
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,R^2,0.726654950453856,0.08536923687852695,0.5440780679269435,0.8718520549362452
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,p,1.2370152884006535e-07,9.496632730844632e-05,2.8810104685916718e-11,4.430918528914799e-05
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,RMSE,3.9971636977175304,0.670604144079114,2.6599593751459047,5.24567618722964
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,MSE,1.6693891961949383,0.7543238287482277,0.25402477649718413,3.262251253902312
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,MUE,2.973424318632349,0.5472558315746534,1.9832715858157461,4.125485850328924
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,Tau,0.6884057971014493,0.08655763051538752,0.47240513564379305,0.8119463268877694
openff-1.0.0,Pure Enthalpy Of Vaporization,Slope,0.8742574095744131,0.20122994442912503,0.5493097834332537,1.28337445741706
openff-1.0.0,Pure Enthalpy Of Vaporization,Intercept,9.63266530028313,7.477693090846306,-5.593494954649778,22.009148257016765
openff-1.0.0,Pure Enthalpy Of Vaporization,R,0.7538808053567935,0.0674433530283677,0.5995540291710624,0.8720671783758114
openff-1.0.0,Pure Enthalpy Of Vaporization,R^2,0.5683362686854075,0.09911373324674638,0.35946503389525514,0.7605011636003493
openff-1.0.0,Pure Enthalpy Of Vaporization,p,3.2658247882200766e-05,0.0019484059324695903,5.958774871575027e-08,0.0025029371240733603
openff-1.0.0,Pure Enthalpy Of Vaporization,RMSE,6.948170411744791,0.9258759994866887,5.14196178707773,8.753448965722791
openff-1.0.0,Pure Enthalpy Of Vaporization,MSE,4.645010333399657,1.0652463527828018,2.5408468432465185,6.72134043940098
openff-1.0.0,Pure Enthalpy Of Vaporization,MUE,5.830284391179566,0.7739141552236923,4.419166978665854,7.401508804998912
openff-1.0.0,Pure Enthalpy Of Vaporization,Tau,0.5968379446640317,0.08637549018365275,0.41393704052402286,0.752337166918931
rho_pure_h_vap,Pure Enthalpy Of Vaporization,Slope,0.8883322055196146,0.18878946665512844,0.567017246634916,1.2867145349257827
rho_pure_h_vap,Pure Enthalpy Of Vaporization,Intercept,6.16730362414561,7.268085900911468,-8.789944350624403,18.64942227634726
rho_pure_h_vap,Pure Enthalpy Of Vaporization,R,0.7522561392240755,0.06868953339626559,0.5929410810916446,0.8646740204335226
rho_pure_h_vap,Pure Enthalpy Of Vaporization,R^2,0.5658892990003117,0.10018751243945972,0.3515791256461282,0.7476611616126718
rho_pure_h_vap,Pure Enthalpy Of Vaporization,p,3.47200962305196e-05,0.0017605412433258007,1.0328364552155879e-07,0.0029590722099906348
rho_pure_h_vap,Pure Enthalpy Of Vaporization,RMSE,5.601386734611455,0.8770738690765058,3.771904799362099,7.245961597080004
rho_pure_h_vap,Pure Enthalpy Of Vaporization,MSE,1.7037052400339865,1.103982427653964,-0.4303530545031191,3.9239222257627198
