Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MSE,0.16099070148736278,0.02439163058630746,0.11458947398258225,0.20978535750538096,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MUE,0.1634035629183678,0.022923038429719583,0.12452435009671757,0.21381438048524953,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Tau,0.8017241379310346,0.05726673392741078,0.6514536635453932,0.8771349452704359,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,0.8383842862585135,0.04490367412998851,0.7592215090488922,0.9346999504135514,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,-0.1737819338823856,0.04487016278991965,-0.28147229820227415,-0.10478613125863007,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.9570698580071263,0.016604176658436533,0.9160112485102753,0.9789673635164303,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.9159827131057809,0.031393340964632026,0.8390766073973532,0.9583770988303106,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,5.899684006716373e-15,2.8079531942728123e-10,8.930901991054518e-19,2.1480790373781173e-11,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,0.38523705452509693,0.03449531825259791,0.3194450772299799,0.45102399374395247,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MSE,-0.33908667593420083,0.03579527628381975,-0.4099337055401282,-0.2701414232309696,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MUE,0.3401814669686218,0.034983508908265556,0.27460116080635144,0.4103842193458632,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Tau,0.8233618233618234,0.06284866584108025,0.652291663129698,0.9031535165794374,alcohol_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,0.13722935316682636,,-0.7245656267440604,,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,0.8261342572126845,,-0.4800492571606813,,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.2265435405201583,0.7751997681399504,-0.9998578343168447,0.9999725887477556,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.0513219757514086,0.44122935116822504,0.0,0.9999742825845933,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,0.8545148832121302,0.3952940885879489,0.0032414336066833014,1.0,ester_ether
